,titleleft,authors,isbn13left,synopsis
313,STREET GAME,"['Feehan, Christine']",9780515147605,"<p><p><b>the New Ghostwalker Novel From The #1 <i>new York Times</i> Bestselling Author </b> <p>years Ago, Ghostwalkers Mack Mckinley And Jaimie Fielding Were Lovers. Now They've Been Reunited On The Violent Streets By A Ruthless Common Enemy Who Could Destroy Them Both.</p>"
314,FOOD RULES,"['Pollan, Michael']",9780143116387,"<p><P><b> A pocket compendium of food wisdom-from the author of <i>The Omnivore's Dilemma</i> and <i>In Defense of Food</i> </b><P>Michael Pollan, our nation's most trusted resource for food-related issues, offers this indispensible guide for anyone concerned about health and food. Simple, sensible, and easy to use, <i>Food Rules</i> is a set of memorable rules for eating wisely, many drawn from a variety of ethnic or cultural traditions. Whether at the supermarket or an all-you-can-eat-buffet, this handy, pocket-size resource is the perfect guide for anyone who would like to become more mindful of the food we eat.</p> <h3>The New York Times - Jane Brody</h3> <p>In the more than four decades that I have been reading and writing about the findings of nutritional science, I have come across nothing more intelligent, sensible and simple to follow than the 64 principles outlined in a slender, easy-to-digest new book called Food Rules&#58; An Eater's Manual, by Michael Pollan.</p>"
315,WOMEN AND MONEY,"['Orman, Suze']",9780812981315,"<p><p>The #1 New York Times bestselling author's groundbreaking new book investigates the complicated relationship women have with money. <br><br>Suze Orman equips women with the financial knowledge and emotional awareness to overcome the blocks that have kept them from making more out of the money they have. In chapters such as ""You are Not on ""Sale,"" ""No Shame, No Blame,"" and ""The 8 Qualities of a Wealthy Woman"" Suze delivers her signature mix of insight, compassion, and soul-deep recognition. At the heart of the book is ""The Save Yourself Plan"" - a streamlined, five-month countdown that delivers genuine long-term financial security. But what's at stake is far bigger than money itself; it's about every woman's sense of who she is and what she deserves, and why it all begins with the decision to save yourself. <p> <b>Suze Orman</b> is a two-time Emmy Award winner and the author of six consecutive <i>New York Times</i> bestsellers: <i>Women & Money, The 9 Steps to Financial Freedom; The Courage to Be Rich; The Road to Wealth; The Laws of Money, The Lessons of Life;</i> and <i>The Money Book for the Young, Fabulous & Broke</i>. As the host of <i>The Suze Orman Show,</i> which airs every Saturday night on CNBC, she has garnered more GRACIE Awards than anyone in the 32-year history of that award, which honors women in radio and television. Named in 2007 by <i>BusinessWeek</i> as the top female motivational speaker in the United States and in 2008 by <i>Time</i> magazine as one of the 100 most influential people in the world, Suze is also a contributing editor to <i>O, The Oprah Magazine</i> and <i>The Costco Connection</i>. Suze's name has become synonymous with money, and she is undeniably the most-listened-to personal finance expert in America today.</p> <h3>Publishers Weekly</h3> <p><P>Bestselling author (2005's <I>The Money Book for the Young, Fabulous &amp; Broke</I>, etc.) and host of her own CNBC show, Orman encourages women to ""give <I>to</I>yourself as much as you give <I>of</I>yourself"" in her ninth financial advice book, sure to resonate with legions of readers who will appreciate her straightforward advice and supportive tone. Aiming squarely for a female audience, Orman guides readers through the very basics of finances. She explores why women have dysfunctional relationships with money and notes the ways they undervalue themselves or ""treat themselves as a commodity whose price is set by others,"" while also sharing the story of her own evolving relationship with her finances. Though her explanation of the ""8 qualities of a wealthy woman"" (harmony, balance, courage, etc.) is more inspirational than practical, she also presents a concrete five-month ""save yourself plan"" for financial repair, starting with setting aside checking and savings accounts, fixing one's credit rating, saving for retirement, setting up a will and purchasing home insurance. This encouraging guide will not intimidate women who are foundering financially. <I>(Feb.)</I></P><P><EMPHASIS TYPE=""BOLD"">Correction: </I>Due to the publisher's error, we misidentified Sidney Wanzer in our review of his book, <I>To Die Well </I>(Reviews, Feb. 18). He the former head of the Harvard Law School Health Services.</P>Copyright 2007 Reed Business Information</p>"
316,FLAT BELLY DIET!,[],9781605295626,"<p>Join the million-plus people who have found the answer to losing their belly fat while eating satisfying and delicious foods.</p>
<p>With the Flat Belly Diet you can:</p>
<ul>
<li>Lose inches in just 4 days</li>
<li>Drop up to 15 pounds in 32 days</li>
<li>Boost your energy as the weight falls off!</li>
</ul>
<p><i>Prevention</i>, America’s most trusted healthy-living magazine, presents the <i>New York Times-</i>bestseller Flat Belly Diet in paperback—now with a new foreword by Dr. David L. Katz describing new research about the many health and weight loss benefits of this amazing eating plan. Enjoy delicious dishes such as Seared Wild Salmon with Mango Salsa, Slow Cooker Chili, and Pumpkin-Maple Cheesecake—and you will lose belly inches and greatly enhance your likelihood of living a longer and healthier life.</p>"
317,WHAT TO EXPECT WHEN YOU'RE EXPECTING,"['Murkoff, Heidi', 'Mazel, Sharon']",9780761148579,"Cuts Through The Confusion Surrounding Pregnancy And Birth By Debunking Dozens Of Myths That Mislead Parents, Offering Explanations Of Medical Terms, And Covering A Variety Of Issues Including Prenatal Care, Birth Defects, And Amniocentesis. Why This Book Was Born Again, Again -- Pt. 1. First Things First. 1. Before You Conceive : Preconception Prep For Moms ; Preconception Prep For Dads -- 2. Are You Pregnant? : What You May Be Wondering About ; Choosing And Working With Your Practitioner -- 3. Your Pregnancy Profile : Your Gynecological History ; Your Obstetrical History ; Your Medical History ; Prenatal Diagnosis ; First Trimester ; First And Second Trimester ; Second Trimester -- 4. Your Pregnancy Lifestyle : What You May Be Wondering About ; Complementary And Alternative Medicine -- 5. Nine Months Of Eating Well : What You May Be Wondering About -- Pt. 2. Nine Months & Counting: From Conception To Delivery. 6. The First Month: Approximately 1 To 4 Weeks : Your Baby This Month ; What You May Be Feeling ; What You Can Expect At Your First Prenatal Visit ; What You May Be Wondering About ; Your Pampered Pregnancy -- 7. The Second Month: Approximately 5 To 8 Weeks : Your Baby This Month ; What You May Be Feeling ; What You Can Expect At This Month's Checkup ; What You May Be Wondering About ; Weight Gain During Pregnancy -- 8. The Third Month: Approximately 9 To 13 Weeks : Your Baby This Month ; What You May Be Feeling ; What You Can Expect At This Month's Checkup ; What You May Be Wondering About ; Pregnant On The Job -- 9. The Fourth Month: Approximately 14 To 17 Weeks : Your Baby This Month ; What You May Be Feeling ; What You Can Expect At This Month's Checkup ; What You May Be Wondering About ; Exercise During Pregnancy --^ 10. The Fifth Month: Approximately 18 To 22 Weeks : Your Baby This Month ; What You May Be Feeling ; What You Can Expect At This Month's Checkup ; What You May Be Wondering About ; Sex And The Pregnant Woman -- 11. The Sixth Month: Approximately 23 To 27 Weeks : Your Baby This Month ; What You May Be Feeling ; What You Can Expect At This Month's Checkup ; What You May Be Wondering About ; Childbirth Education -- 12. The Seventh Month: Approximately 28 To 31 Weeks : Your Baby This Month ; What You May Be Feeling ; What You Can Expect At This Month's Checkup ; What You May Be Wondering About ; Easing Labor Pain -- 13. The Eighth Month: Approximately 32 To 35 Weeks : Your Baby This Month ; What You May Be Feeling ; What You Can Expect At This Month's Checkup ; What You May Be Wondering About ; Breastfeeding --^ 14. The Ninth Month: Approximately 36 To 40 Weeks : Your Baby This Month ; What You May Be Feeling ; What You Can Expect At This Month's Checkup ; What You May Be Wondering About ; Prelabor, False Labor, Real Labor -- 15. Labor And Delivery : What You May Be Wondering About ; Childbirth ; Stage One: Labor ; Stage Two: Pushing And Delivery ; Stage Three: Delivery Of The Placenta -- Pt. 3. Twins, Triplets & More: When You're Expecting Multiples. 16. Expecting More Than One : What You May Be Wondering About ; Multiple Childbirth -- Pt. 4. After The Baby Is Born. 17. Postpartum: The First Week : What You May Be Feeling ; What You May Be Wondering About ; Getting Started Breastfeeding -- 18. Postpartum: The First 6 Weeks : What You May Be Feeling ; What You Can Expect At Your First Postpartum Checkup ; What You May Be Wondering About ; Getting Back Into Shape ; Phase 1: Twenty-four Hours After Delivery ; Phase 2: Three Days After Delivery ; Phase 3: After Your Postpartum Checkup -- Pt. 5. For Dads. 19. Fathers Are Expectant, Too : What You May Be Wondering About -- Pt. 6. Staying Healthy When You're Expecting. 20. If You Get Sick : What You May Be Wondering About ; Medications During Pregnancy -- 21. If You Have A Chronic Condition : What You May Be Wondering About ; Getting The Support You Need -- Pt. 7. The Complicated Pregnancy. 22. Managing A Complicated Pregnancy : Pregnancy Complications ; Uncommon Pregnancy Complications ; Childbirth And Postpartum Complications ; If You're Put On Bed Rest -- 23. Coping With Pregnancy Loss. By Heidi Murkoff And Sharon Mazel ; Foreword By Charles J. Lockwood. Completely New & Revised--cover. Includes Index."
318,THE LOVE DARE,"['Kendrick, Stephen', 'Kendrick, Alex']",9780805448856,"<p class=""null1"">The #1 New York Times best seller. More than 5 million units sold.</p>
<p>Unconditional love is eagerly promised at weddings, but rarely practiced in real life. As a result, romantic hopes are often replaced with disappointment in the home. But it doesn’t have to stay that way.<br>
<i><br>
The Love Dare</i>, as featured in the popular new movie Fireproof (from the makers of Facing the Giants), is a 40-day challenge for husbands and wives to understand and practice unconditional love. Whether your marriage is hanging by a thread or healthy and strong, <i>The Love Dare</i> is a journey you need to take. It’s time to learn the keys to finding true intimacy and developing a dynamic marriage. Take the dare!</p>"
319,THE BOOK THIEF,['Markus Zusak'],9780375842207,"<p><p><b>an Incredible Young Adult Novel About How A Young Girl S Love Of Books Helps A Community Survive World War Ii And The Holocaust.</b><p>it S Just A Small Story Really, About Among Other Things&#58; A Girl, Some Words, An Accordionist, Some Fanatical Germans, A Jewish Fist-fighter, And Quite A Lot Of Thievery. Set During World War Ii In Germany, This Groundbreaking Novel Is The Story Of Liesel Meminger, A Foster Girl Living Outside Of Munich. Liesel Scratches Out A Meager Existence For Herself By Stealing When She Encounters Something She Can T Resist Books. This Is An Unforgettable Story About The Ability Of Books To Feed The Soul.<p> Zusak Has Created A Work That Deserves The Attention Of A Sophisticated Teen And Adult Readers A Mesmerizing And Original Story. <i>school Library Journal</i>, Starred Review<p> A Tour De Force To Be Not Just Read But Inhabited. <i>the Horn Book</i>, Starred Review</p><h3>publishers Weekly</h3><p>corduner Uses Considerable Zeal And A Talent For Accents To Navigate Zusak's Compelling, Challenging Novel Set In Nazi Germany. Death Serves As Knowing Narrator For The Tale, Which Is Framed Much Like A Lengthy Flashback. The Storytelling Aspects Of This Structure Include Asides To The Listener, And Lots Of Foreshadowing About What Eventually Happens To The Various Lead Characters-appealing Features For Listeners. But Corduner Seems To Most Enjoy Embracing The Heart Of Things Here-the Rather Small And Ordinary Saga Of 10-year-old Liesel Meminger, Who Has Been Given Over To A Foster Family Following Her Mother's Branding As A Kommunist And The Death Of Her Younger Brother. Under Her Foster Parents' Care, She Learns How To Read, How To Keep Terrifying Secrets And How To Hone Her Skills As A Book Thief, A Practice That Keeps Her Sane And Feeds Her Newfound Love Of Words. With Quick Vocal Strokes, Corduner Paints Vivid, Provocative Portraits Of Germans And Jews Under Unfathomable Duress And The Ripple Effect Such Circumstances Have On Their Lives. Ages 12-up. (oct.) Copyright 2006 Reed Business Information.</p>"
320,"THIRST NO. 2: PHANTOM, EVIL THIRST, CREATURES OF FOREVER","['Pike, Christopher']",9781416983095,"<p>What Alisa has desired for five thousand years has finally come true—she is once again human. But now she is defenseless, vulnerable, and for the first time in centuries, emotional. As she attempts to reconcile her actions as a vampire with her new connection to humanity, she begins to understand the weight of life and death decisions. Can Alisa resolve her past and build a new identity, or is she doomed to repeat her fatal mistakes? From the paranormal series that netted more than 500,000 copies after its initial publication in 1994, this stylish, repackaged bindup is ideal for today’s vampire-savvy teen audience.</p>"
321,THREE CUPS OF TEA,"['Greg Mortenson', 'David Oliver Relin']",9780142414125,"<p><P>This young readers' edition of the worldwide bestseller <i>Three Cups of Tea</i> has been specially adapted and updated by Greg Mortenson to bring his remarkable story of humanitarianism up-to-date. It includes brand-new photos, maps, and illustrations, as well as a special afterword by Greg's twelve-year-old daughter, Amira, who has traveled with her father as an advocate for the Pennies for Peace program for children.</p><h3>Publishers Weekly</h3><p>Some failures lead to phenomenal successes, and this American nurse's unsuccessful attempt to climb K2, the world's second tallest mountain, is one of them. Dangerously ill when he finished his climb in 1993, Mortenson was sheltered for seven weeks by the small Pakistani village of Korphe; in return, he promised to build the impoverished town's first school, a project that grew into the Central Asia Institute, which has since constructed more than 50 schools across rural Pakistan and Afghanistan. Coauthor Relin recounts Mortenson's efforts in fascinating detail, presenting compelling portraits of the village elders, con artists, philanthropists, mujahideen, Taliban officials, ambitious school girls and upright Muslims Mortenson met along the way. As the book moves into the post-9/11 world, Mortenson and Relin argue that the United States must fight Islamic extremism in the region through collaborative efforts to alleviate poverty and improve access to education, especially for girls. Captivating and suspenseful, with engrossing accounts of both hostilities and unlikely friendships, this book will win many readers' hearts. (Mar.) Copyright 2006 Reed Business Information.</p>"
322,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN,['Sherman Alexie'],9780316013697,"<p>the Book That Launched Sherman Alexie Onto The Ya Market Is Now Available In A Deluxe Collector's Edition! Beautifully Designed With A Gifty New Look That Includes A Foil-stamped, Die-cut Slipcase And 4-color Interior Art, This Edition Is Perfect For Fans And Collectors Alike.</p><p>in His Nationally Acclaimed, Semi-autobiographical Ya Debut, Author Sherman Alexie Tells The Heartbreaking, Hilarious, And Beautifully Written Story Of A Young Native American Teen As He Attempts To Break Free From The Life He Was Destined To Live.</p>                        <p><b>winner Of The 2007 National Book Award For Young People’s Literature</b></p>"
323,L.A. CANDY,"['Conrad, Lauren']",9780061767586,"When Nineteen-year-old Jane Roberts Is Cast In A New Reality Show, She Discovers That The Fame And Fortune Of Her New Life Come At A High Price To Herself And Her Friendships. First Published: Harpercollins, 2009. -nineteen-year-old Jane Roberts Moves To La And Unexpectedly Becomes The Star Of A Reality Tv Show. With Fame Comes Wealth, Hot Clothes And Even Hotter Love Interests -- And Jane's Lapping It All Up With Her Eclectic Entourage Of Pals Who Are Always Up For A Wild Night Out And The Chance To Get A Piece Of Her Spotlight. Ages 14+. Lauren Conrad."
324,WATCHMEN,['Alan Moore'],9780930289232,"<p>A <i>New York Times</i> Best Seller!</p>
<p>This Hugo Award-winning graphic novel chronicles the fall from grace of a group of super-heroes plagued by all-too-human failings. Along the way, the concept of the super-hero is dissected as the heroes are stalked by an unknown assassin.</p>
<p>One of the most influential graphic novels of all time and a perennial bestseller, WATCHMEN has been studied on college campuses across the nation and is considered a gateway title, leading readers to other graphic novels such as V FOR VENDETTA, BATMAN: THE DARK KNIGHT RETURNS and THE SANDMAN series.</p>


                        <p>Who watches the Watchmen. Someone does. Someone who's trying to kill them all, one by one. Time's running out for the Watchmen... .
</p>"
325,THE ZOMBIE SURVIVAL GUIDE: RECORDED ATTACKS,['Max Brooks'],9780307405777,"<p><P>Those who don&#8217;t learn from history are condemned to repeat it.<P>From the Stone Age to the information age, the undead have threatened to engulf the human race. They&#8217;re coming. They&#8217;re hungry.<P>Don&#8217;t wait for them to come to you! <P>This is the graphic novel the fans demanded&#58; major zombie attacks from the dawn of humanity. On the African savannas, against the legions of ancient Rome, on the high seas with Francis Drake . . . every civilization has faced them. Here are the grisly and heroic stories&#8211;complete with eye-popping artwork that pulsates with the hideous faces of the undead. <P>Organize before they rise!<P>Scripted by the world&#8217;s leading zombie authority, Max Brooks, <i>Recorded Attacks</i> reveals how other eras and cultures have dealt with&#8211;and survived&#8211;the ancient viral plague. By immersing ourselves in past horror we may yet prevail over the coming outbreak in our time.</p>"
326,"MAUS: A SURVIVOR’S TALE, VOL. 1",['Art Spiegelman'],9780394747231,"Memoir About Vladek Spiegelman, A Jewish Survivor Of Hitler's Europe, And About His Son, A Cartoonist Who Tries To Come To Terms With His Father, His Story, And With History Itself. The Second Volume Follows The Family's Move From Auschwitz To The Catskills. 1 : The Sheik -- 2 : The Honeymoon -- 3 : Prisoner Of War -- 4 : The Noose Tightens -- 5 : Mouse Holes -- 6 : Mouse Trap. Art Spiegelman. Previously Published As: Maus. Winner Of The 1992 Pulitzer Prize."
327,"THE WALKING DEAD, VOL. 1",['Robert Kirkman'],9781582406725,"An epidemic of apocalyptic proportions has swept the globe, causing the dead to rise and feed on the living. In a matter of months, society has crumbled: There is no government, no grocery stores, no mail delivery, no cable TV. Rick Grimes finds himself one of the few survivors in this terrifying future. A couple months ago he was a small town cop who had never fired a shot and only ever saw one dead body. Separated from his family, he must now sort through all the death and confusion to try and find his wife and son. In a world ruled by the dead, we are forced to finally begin living."
328,"CHEW, VOL. 1","['Layman, John']",9781607061595,"Tony Chu Is A Detective With A Secret. A Weird Secret. Tony Chu Is Cibopathic, Which Means He Gets Psychic Impressions From Whatever He Eats. It Also Means He's A Hell Of A Detective, As Long As He Doesn't Mind Nibbling On The Corpse Of A Murder Victim To Figure Out Whodunit, And Why. He's Been Brought On By The Special Crimes Division Of The Fda, The Most Powerful Law Enforcement Agency On The Planet, To Investigate Their Strangest, Sickest, And Most Bizarre Cases--cover. V. 1. Taster's Choice. -- V. 2. International Flavor -- V. 3. Just Desserts -- V. 4. Flambé -- V. 5. Major League -- V. 6. Space Cakes -- V. 7. Bad Apples -- V. 8. Family Recipes. Written & Lettered By John Layman ; Drawn & Coloured By Rob Guillory. Originally Published In Single Magazine Format As Chew #1-5--t.p. Verso."
329,THE BLIND SIDE,['Michael Lewis'],9780393338386,"<p>Opening in theaters November 20, 2009, <b>The Blind Side</b> is a feature movie based on Michaelâs Lewisâs <b>New York Times</b> bestseller, produced by Alcon Entertainment and distributed by Warner Bros. Pictures. <b>The Blind Side</b> tells the inspirational story of Michael Oher, a homeless black teen taken under the wing of the Touhys, a wealthy white Memphis family. Oherâs size and speed on the football field bring him accolades. But learning the gameâs strategy and making it as a student take the help of his new family, coaches, and tutor.</p><p>Sandra Bullock stars as Leigh Anne Touhy, the sharp-witted and compassionate matriarch. Tim McGraw stars as her sports-enthusiast husband. Oscar winner Kathy Bates plays Miss Sue, Oherâs indefatigable tutor. Quinton Aaron has his first major role as Oher. John Lee Hancock, who directed <b>The Rookie</b> and <b>The Alamo</b>, writes and directs the film.</p><p>Michael Oher was just drafted in the first round of the NFL Draft by the Baltimore Ravens. This edition includes a new afterword bringing Oherâs life up to date through college and the NFL.</p>"
330,THREE CUPS OF TEA,"['Greg Mortenson', 'David Oliver Relin']",9780143038252,"One Man's Campaign To Build Schools In The Most Dangerous, Remote, And Anti-american Reaches Of Asia: In 1993 Greg Mortenson Was An American Mountain-climbing Bum Wandering Emaciated And Lost Through Pakistan's Karakoram. After He Was Taken In And Nursed Back To Health By The People Of A Pakistani Village, He Promised To Return One Day And Build Them A School. From That Rash, Earnest Promise Grew One Of The Most Incredible Humanitarian Campaigns Of Our Time--mortenson's One-man Mission To Counteract Extremism By Building Schools, Especially For Girls, Throughout The Breeding Ground Of The Taliban. In A Region Where Americans Are Often Feared And Hated, He Has Survived Kidnapping, Death Threats, And Wrenching Separations From His Wife And Children. But His Success Speaks For Itself--at Last Count, His Central Asia Institute Had Built Fifty-five Schools.--from Publisher Description. In Mr. Mortenson's Orbit -- Failure -- The Wrong Side Of The River -- Progress And Perfection -- Self-storage -- 580 Letters, One Check -- Rawalpindi's Rooftops At Dusk -- Hard Way Home -- Beaten By The Braldu -- The People Have Spoken -- Building Bridges -- Six Days -- Haji Ali's Lesson -- A Smile Should Be More Than A Memory -- Equilibrium -- Mortenson In Motion -- Red Velvet Box -- Cherry Trees In The Sand -- Shrouded Figure -- A Village Called New York -- Tea With The Taliban -- Rumsfeld's Shoes -- The Enemy Is Ignorance -- Stones Into Schools. Greg Mortenson And David Oliver Relin. Includes Index. The Kiriyama Prize Winner -- Cover."
331,"EAT, PRAY, LOVE","['Gilbert, Elizabeth']",9780143038412,Gilbert/eat Pray Love
332,"ARE YOU THERE, VODKA? IT’S ME, CHELSEA","['Handler, Chelsea']",9781416596363,"<p>the Eagerly Awaited Collection Of Personal Essays From The Bestselling Author Of <i>my Horizontal Life</i><br><br>when Chelsea Handler Needs To Get A Few Things Off Her Chest, She Appeals To A Higher Power -- Vodka. You Would Too If You Found Out That Your Boyfriend Was Having An Affair With A Peekapoo Or If You Had To Pretend To Be Honeymooning With Your Father In Order To Upgrade To First Class. Welcome To Chelsea's World -- A Place Where Absurdity Reigns Supreme And A Quick Wit Is The Best Line Of Defense. <br><br>in This Hilarious, Deliciously Skewed Collection, Chelsea Mines Her Past For Stories About Her Family, Relationships, And Career That Are At Once Singular And Ridiculous. Whether She's Convincing Her Third-grade Class That She Has Been Tapped To Play Goldie Hawn's Daughter In The Sequel To Private Benjamin, Deciding To Be More Egalitarian By Dating A Redhead, Or Looking Out For A Foulmouthed, Rum-swilling Little Person Who Looks Just Like Her...only Smaller, Chelsea Has A Knack For Getting Herself Into The Most Outrageous Situations. <i>are You There, Vodka? It's Me, Chelsea</i> Showcases The Candor And Irresistible Turns Of Phrase That Have Made Her One Of The Freshest Voices In Comedy Today.<p></p> <h3>susan Mcclellan - Library Journal</h3> <p><p>best-selling Author Handler (<i>my Horizontal Life</i>), A Well-known Stand-up Comic Who Stars In Her Own E! Network Series, <i>chelsea Handler Lately</i>, Has Once Again Written A Hilarious Book. In This Collection Of Essays On Relationships, Family Life, And Her Own Adventures, She Is Both Charming And Brutally Honest. In One Priceless Piece, Handler Tells Of Babysitting A 14-year-old When She Herself Was Only 12; Her Recollection Of Her Charge's Behavior Is Sure To Give Readers A Good Laugh. Also Hysterical Is The Story Of How Handler Regifted A Used Game Of Rehab To A Friend On Her Birthday-the Same Game She Had Herself Earlier Been Gifted. Handler Is Brilliant At Her Craft Of Comedy, And It Shows In Her Descriptions Of One Witty Situation After Another. Highly Recommended For Academic And Public Libraries And For Anyone Wanting A Good Laugh.</p>"
333,THE GLASS CASTLE,"['Walls, Jeannette']",9780743247542,"<p><p>jeannette Walls Grew Up With Parents Whose Ideals And Stubborn Nonconformity Were Both Their Curse And Their Salvation. Rex And Rose Mary Walls Had Four Children. In The Beginning, They Lived Like Nomads, Moving Among Southwest Desert Towns, Camping In The Mountains. Rex Was A Charismatic, Brilliant Man Who, When Sober, Captured His Children's Imagination, Teaching Them Physics, Geology, And Above All, How To Embrace Life Fearlessly. Rose Mary, Who Painted And Wrote And Couldn't Stand The Responsibility Of Providing For Her Family, Called Herself An Excitement Addict. Cooking A Meal That Would Be Consumed In Fifteen Minutes Had No Appeal When She Could Make A Painting That Might Last Forever. <p> Later, When The Money Ran Out, Or The Romance Of The Wandering Life Faded, The Walls Retreated To The Dismal West Virginia Mining Town -- And The Family -- Rex Walls Had Done Everything He Could To Escape. He Drank. He Stole The Grocery Money And Disappeared For Days. As The Dysfunction Of The Family Escalated, Jeannette And Her Brother And Sisters Had To Fend For Themselves, Supporting One Another As They Weathered Their Parents' Betrayals And, Finally, Found The Resources And Will To Leave Home. <p> What Is So Astonishing About Jeannette Walls Is Not Just That She Had The Guts And Tenacity And Intelligence To Get Out, But That She Describes Her Parents With Such Deep Affection And Generosity. Hers Is A Story Of Triumph Against All Odds, But Also A Tender, Moving Tale Of Unconditional Love In A Family That Despite Its Profound Flaws Gave Her The Fiery Determination To Carve Out A Successful Life On Her Own Terms. <p> For Two Decades, Jeannette Walls Hid Her Roots. Now She Tells Her Own Story. A Regular Contributor To Msnbc.com, She Lives In New York And Long Island And Is Married To The Writer John Taylor.</p> <h3>the New York Times - Francine Prose</h3> <p><i>the Glass Castle</i> Falls Short Of Being Art, But It's A Very Good Memoir. At One Point, Describing Her Early Literary Tastes, Walls Mentions That ''my Favorite Books All Involved People Dealing With Hardships.'' And She Has Succeeded In Doing What Most Writers Set Out To Do -- To Write The Kind Of Book They Themselves Most Want To Read.</p>"
335,WADDLE!,"['Butler Seder, Rufus']",9780761151128,"<p>It's <i>Waddle!</i> And it's in color. And boy, is it irresistible. In the same way that kids can't read <i>Gallop!</i> without wanting to gallop around the room, <i>Waddle!</i>, an animals-in-motion Scanimation book, will inspire prancing, hopping, stomping, and scampering. And did we mention color? Created by the optical genius behind the phenomenal #1 and #2 <i>New York Times</i> bestselling children's books, <i>Gallop!</i> and <i>Swing!</i>, <i>Waddle!</i> adds touches of color to the images and integrates it into the text. That prancing pig is pink, the leaping dolphin is blue, the slithering snake yellow. The Scanimation itself is also more lifelike, as the author continues to refine his patented Scanimation process, resulting in a more fluid, realistic motion. Nothing else compares. <p><i>Waddle!</i> teaches color and movement. Its language is a joy, the rhymes inspiring, the animals full of life. And one more thing&#58; Waddle! has a surprise ending. Something else to grab the reader&mdash;literally.<br></p><h3>Publishers Weekly</h3><p>On the heels of Gallop! and Swing!, Seder's latest Scanimation ode to movement adds color to its bestselling formula, mostly to good effect. Like the previous books, the simple text poses playful questions (&ldquo;Can you hop like a frog? flip-flop-floop!&rdquo;). The level of detail on a few animals (the hopping frog, leaping dolphin and chomping alligator) is striking, but the addition of color also has the effect of reducing the contrast, and thus the detail, in others (notably the pig, hummingbird and bear), whose features are indistinct. Still, readers should find the animations mesmerizing. Ages 4&ndash;8. (Oct.)\</p>"
336,LISTEN TO THE WIND: THE STORY OF DR. GREG AND THREE CUPS OF TEA,['Greg Mortenson'],9780803730588,"Tells The True Story Of A Man Who Became Lost And Delirious After An Unsuccessful Trek To The Top Of K2, Was Saved By The Locals Of A Remote Himalayan Village, And Kept His Vow To Return One Day To Build Them A New School As A Gesture Of Sincere Appreciation And Gratitude For What They Did For Him In His Time Of Need. By Greg Mortenson And Susan L. Roth ; Collages By Susan L. Roth. Includes Bibliographical References. Accelerated Reader/renaissance Learning Lg 4.6 0.5. Notable Social Studies Trade Books For Young People, 2010."
337,FAMILY HUDDLE,"['Peyton Manning', 'Eli Manning', 'Archie Manning']",9780545153775,"<p>Huddle up with the most famous family in football&mdash;the Mannings! Peyton and Eli Manning are now NFL superstars, but they are still kids in Family Huddle. Follow along as Eli and Peyton pile into the car with older brother Cooper for a trip to visit their grandparents. Their dad, former NFL star Archie Manning, is at the wheel, with mom Olivia at his side. The boys joke around and play football at every opportunity, running fun plays like the buttonhook, the quarterback sneak, and the hook and ladder.<br> <br> Family and football have always been a big deal in the Manning family. Family Huddle is based on some of the Mannings&rsquo; memories from their days in Louisiana and Mississippi.</p><h3>Publishers Weekly</h3><p>This writing team of two Super Bowl&ndash;winning quarterbacks and their former star quarterback father should score with young fans, despite some heavy-handed clich&eacute;s and syrupy dialogue. As the young Manning family prepares to visit two sets of grandparents, mother Olivia announces to her three football-playing sons (oldest brother Cooper is practicing with his brothers), &ldquo;This weekend is going to be filled with family and football.&rdquo; Madsen&rsquo;s (The Adventures of Thor the Thunder God) digitally created art is most successful in delivering dynamic images of the clan, ably conveying the siblings&rsquo; abundant energy, and painterly outdoor scenes of autumn foliage; vehicles and buildings are awkwardly stiff and geometric by comparison. The story itself is fairly empty&mdash;it&rsquo;s mainly a vehicle to introduce plays like the quarterback sneak and buttonhook (which are diagrammed on the endpapers) and platitudes like &ldquo;As long as you look out for each other, you will always be on a winning team.&rdquo; But readers should pick up some new moves and game ideas for both on and off the field. Ages 4&ndash;8. (Sept.)</p>"
